X,Y,OBJECTID,DROP_SITE,ADDRESS,FACILITY_TYPE,NOTE,MAR_WARD,STATUS,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,GlobalID,CreationDate,HOURS,DATES_AVAILABLE
-77.00836374,38.96773143,20,Lamond Recreation Center,20 Tuckerman Street NE,Recreation Center,,Ward 4,Active,20 TUCKERMAN STREET NE,399286.11,144423.65,38.96772726,-77.00823768,9505,20011,296166,{E4FCC759-1849-47B9-9A50-93FAD4FA7D16},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.97863547,38.92741373,21,Woodridge Library,1801 Hamlin Street NE,Library,,Ward 5,Active,1801 HAMLIN STREET NE,401852.53,139948.67,38.92741373,-76.97863547,11100,20018,286483,{281485F5-FF57-488A-BEDA-5C05092F9C98},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.9971306,38.95323657,22,UDC Community College @Backus,5171 South Dakota Avenue NE,School,,Ward 5,Active,5171 SOUTH DAKOTA AVENUE NE,400236.86,142826.56,38.95334086,-76.99726739,9508,20017,294607,{3E7AF95A-9DE2-4664-9E28-958A10D7C8C4},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.97859551,38.93679648,23,Perry Street Prep Charter School,1800 Perry Street NE,School,,Ward 5,Active,1800 PERRY STREET NE,401855.75,140990.2,38.93679648,-76.97859551,9400,20018,294529,{E80E2A96-1B43-4301-B78A-AA9C6C237EC3},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.98833984,38.90405512,24,Joseph H. Cole Recreation Center,1299 Neal Street NE,Recreation Center,,Ward 5,Active,1299 NEAL STREET NE,400997.43,137362.43,38.90411774,-76.98850077,8802,20002,294512,{9A49CA0D-7476-42E3-8D8F-1D8E9B85EC30},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.01269148,38.90762655,25,Dunbar High School,101 N Street NW,School,,Ward 5,Active,101 N STREET NW,398899.21,137751.95,38.90762655,-77.01269148,4600,20001,309947,{C048ABEF-D836-4A1C-B208-7EFAA0E0F2EA},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.99759126,38.90881061,26,Union Market DC,1309 5th Street NE,Business,,Ward 5,Active,1309 5TH STREET NE,400203.8,137872.89,38.90871669,-76.99765027,8803,20002,301991,{56BAEE8B-8076-4A07-8414-2FA18634ADD3},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.99704088,38.93205742,27,Monroe Street Market,625 Monroe Street NE,Business,Outside Busboys and Poets closer to curb,Ward 5,Active,625 MONROE STREET NE,400256.57,140463.91,38.93205742,-76.99704088,9201,20017,309938,{2184CE08-C552-4D4A-BA14-F55B5E474EE6},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.99377059,38.92018824,28,Rhode Island Place Shopping Center,1060 Brentwood Road NE,Business,Around the Giant Grocery store area,Ward 5,Active,1060 BRENTWOOD ROAD NE,400540.21,139146.38,38.92018824,-76.99377059,9102,20018,302477,{CDFF715A-DD7A-429A-A412-2809CCB76000},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-77.02221836,38.91244216,29,Shaw (Watha T. Daniel) Library,1630 7th Street NW,Library,,Ward 6,Active,1630 7TH STREET NW,398073.03,138286.68,38.91244216,-77.02221836,4901,20001,308201,{61EB879E-C6CF-4251-8AE3-A7ACE3D20F50},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
-76.99643011,38.89440853,30,Northeast Library,330 7th Street NE,Library,,Ward 6,Active,330 7TH STREET NE,400309.69,136284.61,38.89440853,-76.99643011,8302,20002,37106,{18BB5EED-B06E-4C2E-9027-6220FD5A2ABC},8/19/2020 19:23,24 Hours until 11/3/2020 by 8:00 PM,10/5/2020 - 11/3/2020
